Event,Event Description,Event Number of Properties,Event Property,Property Description
Overnight_Open_Sent,,1,id,
Overnight_Replenish_Click,,2,is_deal_active,
,,,is_signer,
Overnight_Withdraw_Click,,2,is_deal_active,
,,,is_signer,
passport.send.success,,4,applicationId,
,,,isEio,
,,,opf,
,,,whomFill,
passport.shown,,5,applicationId,
,,,isEio,
,,,opf,
,,,prefill,
,,,whomFill,
Password_Create_Failure,,1,failure_reason,
Password_Input_Failure,,1,failure_reason,
Password_Input_Forget,,0,,
Password_Input_Hide,,0,,
Password_Input_Not_Client,,1,clickOption,
Password_Input_Not_Client_Button_Tap,,0,,
Password_Input_Not_Me_Button_Tap,,0,,
Password_Input_Show,,0,,
Password_Onb_Shown,,0,,
Password_Onb_Skip,,0,,
payment.list.actions.openDraft.onTinkoff.selfPayment.clicked,,0,,
payment.list.actions.repeat.onTinkoff.selfPayment.clicked,,0,,
payment.pay.start,,8,companyId,
,,,eventSource,
,,,prevSubmitted,
,,,project,
,,,recipientCount,
,,,recipientType,
,,,registryNumber,
,,,registryType,
payment.submit.start,,7,companyId,
,,,eventSource,
,,,project,
,,,recipientCount,
,,,recipientType,
,,,registryNumber,
,,,registryType,
Payment_Change_Field,,4,field,
,,,paymentType,
,,,prefilledFlg,
,,,selectFieldFlg,
Payment_Close_Form,,2,lastFieldFocus,
,,,paymentType,
Payment_Create_Sheet_Shown,,0,,
Payment_Focus_Field,,2,field,
,,,paymentType,
Payment_Open_Hint,,3,field,
,,,paymentType,
,,,step,
Payment_Open_Step,,2,paymentType,
,,,step,
Payment_Orders_Period_Shown,,0,,
Payment_Orders_Recipients_Shown,,0,,
Payment_Orders_Send,,0,,
Payment_Select_Checkbox,,3,field,
,,,newState,
,,,paymentType,
Payment_Unfocus_Field,,2,field,
,,,paymentType,
paymentRequest.detail.actionButton.clicked,,1,action,
paymentRequest.detail.pdfButton.clicked,,0,,
paymentRequest.detail.shown,,0,,
paymentRequest.started,,1,from,
Payments_In_Progress_All_Shown,,4,paymentDocumentsDeclined,
,,,paymentDocumentsSubmitted,
,,,paymentDocumentsToSign,
,,,rateOrders,
paymentsAndInvoices.account.forClosing.moneyWithdraw.bottomSheet.displayed,,0,,
paymentsAndInvoices.account.forClosing.moneyWithdraw.bottomSheet.item.clicked,,1,option,
paymentsAndInvoices.account.forClosing.moneyWithdraw.clicked,,0,,
paymentsAndInvoices.createInvoice.bottomSheet.displayed,,0,,
paymentsAndInvoices.createInvoice.bottomSheet.item.clicked,,1,option,
paymentsAndInvoices.createInvoice.clicked,,0,,
paymentsAndInvoices.createPayment.bottomSheet.displayed,,0,,
paymentsAndInvoices.createPayment.bottomSheet.item.clicked,,1,option,
paymentsAndInvoices.createPayment.clicked,,0,,
paymentsAndInvoices.displayed,,0,,
paymentsAndInvoices.drafts.clicked,,0,,
paymentsAndInvoices.drafts.invoices.clicked,,0,,
paymentsAndInvoices.drafts.payments.clicked,,0,,
paymentsAndInvoices.favouritePayments.counterparty.clicked,,0,,
paymentsAndInvoices.favouritePayments.openAll.clicked,,0,,
paymentsAndInvoices.favouritePayments.payment.clicked,,0,,
paymentsAndInvoices.invoicesForPayment.allInvoices.displayed,,0,,
paymentsAndInvoices.invoicesForPayment.allInvoices.item.clicked,,1,option,
paymentsAndInvoices.invoicesForPayment.allInvoices.pullToRefresh,,0,,
paymentsAndInvoices.invoicesForPayment.item.clicked,,1,option,
paymentsAndInvoices.invoicesForPayment.openAll.clicked,,0,,
paymentsAndInvoices.paymentsInWork.allInvoices.displayed,,0,,
paymentsAndInvoices.paymentsInWork.allInvoices.item.clicked,,1,option,
paymentsAndInvoices.paymentsInWork.allInvoices.pullToRefresh,,0,,
paymentsAndInvoices.paymentsInWork.allPayments.displayed,,0,,
paymentsAndInvoices.paymentsInWork.allPayments.item.clicked,,1,option,
paymentsAndInvoices.paymentsInWork.allPayments.pullToRefresh,,0,,
paymentsAndInvoices.paymentsInWork.item.clicked,,1,option,
paymentsAndInvoices.paymentsInWork.openAll.clicked,,0,,
paymentsAndInvoices.pullToRefresh,,0,,
paymentSystemSelection.selection.issue.tap,,4,cardType,
,,,monthPrice,
,,,paymentSystem,
,,,price,
paymentSystemSelection.selection.shown,,1,paymentSystems,
Performance_Fresh_Accounts_Shown_Time,,2,from_icon_tap_sec,
,,,from_valid_password_sec,
Permissions_Confirmed,,2,client,
,,,permission_type,
Permissions_Denied,,2,client,
,,,permission_type,
Permissions_Shown,,2,client,
,,,permission_type,
personal.support.button.tap,,0,,
Personal_Support_Button_Tap,,0,,
Personal_Support_Promo_Manager_Button_Tap,,0,,
Personal_Support_Promo_Shown,,0,,
Personal_Support_Promo_Support_Button_Tap,,0,,
Pin_Current_CrossAuth_Shown,,2,aim_application,
,,,possible_applications,
Pin_Setup_Failure,,3,aim,
,,,client,
,,,failure_reason,
Pin_Setup_Input,,2,aim,
,,,client,
prepaidPromo.connectionScreen.closed,,0,,
prepaidPromo.connectionScreen.connectionButton.pressed,,0,,
prepaidPromo.connectionScreen.load.error,,0,,
prepaidPromo.connectionScreen.load.success,,0,,
prepaidPromo.otpScreen.closed,,0,,
productPage.shown,,1,clientExist,
productScreen.fullNameScreen.error,,0,,
productScreen.fullNameScreen.shown,,0,,
productScreen.shown,,1,clientExist,
productScreen.submitted,,1,applicationId,
profile.closed,,1,type,
profile.itemClick,,1,item,
profile.onboarding.click,,0,,
profile.onboarding.contentClick,,1,click,
profile.onboarding.contentShown,,1,step,
profile.onboarding.shown,,1,state,
profile.opened,,1,type,
qr.error,,0,,
qr.submitted,,1,sourceType,
qr.success,,0,,
Qr_Atm_Shown,,0,,
qrCode.closed,,0,,
qrCode.displayed,,1,project,
qrCode.error,,2,errorType,
,,,project,
qrCode.error.button.clicked,,0,,
qrCode.expired,,1,project,
qrCode.opened,,1,project,
qrCode.payment.error,,2,errorType,
,,,project,
qrCode.payment.error.button.clicked,,1,project,
qrCode.payment.screenshot.detected,,1,project,
qrCode.payment.success,,1,project,
qrCode.retry.clicked,,1,project,
Questionnaire_answers,,3,agrType,
,,,answers,
,,,question,
RateBanner_Shown,,1,from,
RateMe_Actions,,1,answer,
RateMeTwo_Shown,,0,,
Recipient_Button_Click,,3,buttonType,
,,,employeeStatus,
,,,recipientType,
Recipient_Shown,,3,bankType,
,,,employeeStatus,
,,,recipientType,
recipients.create.formShown,,6,addType,
,,,applicationType,
,,,companyId,
,,,isInternal,
,,,recipientsCount,
,,,recipientType,
recipients.create.start,,6,addType,
,,,applicationType,
,,,companyId,
,,,isInternal,
,,,recipientsCount,
,,,recipientType,
recipients.create.success,,6,addType,
,,,applicationType,
,,,companyId,
,,,isInternal,
,,,recipientsCount,
,,,recipientType,
recipients.details.buttonClick,,4,buttonType,
,,,employeeStatus,
,,,project,
,,,recipientType,
recipients.details.shown,,4,bankType,
,,,employeeStatus,
,,,project,
,,,recipientType,
recipients.employees.create.formShown,,2,creationType,
,,,project,
recipients.employees.create.stepShown,,3,creationType,
,,,project,
,,,stepNumber,
recipients.employees.delivery.create.stepShown,,2,project,
,,,step,
recipients.employees.delivery.create.success.addNewDeliveryClick,,0,,
recipients.employees.delivery.create.successCreateShown,,2,project,
,,,type,
recipients.employees.delivery.details.shown,,1,project,
recipients.employees.delivery.list.shown,,1,project,
recipients.employees.draft.list.shown,,1,project,
recipients.employees.list.deliveryInfoShown,,2,deliveryType,
,,,project,
recipients.employees.list.shown,,1,project,
recipients.selfEmployed.list.shown,,1,project,
recognition.image.error,,0,,
recognition.image.submitted,,1,sourceType,
recognition.image.success,,0,,
recognition.txt.error,,0,,
recognition.txt.submitted,,1,sourceType,
recognition.txt.success,,2,countError,
,,,countSuccess,
refund.amount.focused,,1,project,
refund.buttonRefund.clicked,,1,project,
refund.closed,,1,project,
refund.notification.amountValidateFailed,,1,project,
refund.opened,,1,project,
refund.refund.amountExceed,,1,project,
refund.refund.clicked,,0,,
refund.refund.error,,2,errorType,
,,,project,
refund.refund.success,,1,project,
registrationForm.addressStep.shown,,1,applicationId,
registrationForm.documentsStep.document.clicked,,0,,
registrationForm.documentsStep.document.upload.error,,2,applicationId,
,,,error,
registrationForm.documentsStep.document.upload.success,,1,applicationId,
registrationForm.documentsStep.shown,,1,applicationId,
registrationForm.emailStep.shown,,1,applicationId,
registrationForm.formSubmittedStep.shown,,1,applicationId,
registrationForm.okvedsStep.additionalOkvedsStep.addOkvedScreen.shown,,1,applicationId,
registrationForm.okvedsStep.additionalOkvedsStep.shown,,1,applicationId,
registrationForm.okvedsStep.mainOkvedStep.shown,,1,applicationId,
registrationForm.snilsStep.shown,,1,applicationId,
registrationForm.taxationsStatusStep.shown,,1,applicationId,
registrationForm.taxationStep.continueButton.clicked,,2,applicationId,
,,,taxationSystem,
registrationForm.taxationStep.shown,,2,applicationId,
,,,taxationStatus,
registry.create.payroll.shown,,3,project,
,,,recipientType,
,,,registerType,
registry.create.recipientList.shown,,3,project,
,,,recipientType,
,,,registerType,
registry.create.recipientTypeSelection.shown,,1,project,
registry.create.successCreate,,3,project,
,,,recipientType,
,,,registerType,
registry.details.buttonClick,,5,buttonType,
,,,project,
,,,recipientType,
,,,registerStatus,
,,,registerType,
registry.details.shown,,4,project,
,,,recipientType,
,,,registerStatus,
,,,registerType,
registry.list.shown,,2,project,
,,,screenType,
registry.pay.confirmation.shown,,3,confirmationType,
,,,project,
,,,recipientType,
registry.pay.shown,,2,project,
,,,recipientType,
Registry_Add_Employee,,0,,
Registry_Add_Recipient,,2,accountType,
,,,recipientType,
Registry_List_Shown,,1,screenType,
Registry_Payment,,1,recipientType,
Registry_Payment_Confirmation,,2,confirmationType,
,,,recipientType,
rep_counterparty_mob_change_inn,,1,answer,
REP_documents,,6,action,
,,,docType,
,,,problemFlg,
,,,result,
,,,source,
,,,status,
REP_onboarding_closed,,0,,
replenish.byCash.formScreen.cardIssueBanner.clicked,,1,project,
replenish.byCash.formScreen.cardIssueBanner.closeButton.clicked,,1,project,
replenish.byCash.formScreen.cardIssueBanner.displayed,,1,project,
replenish.byCash.formScreen.displayed,,1,project,
replenish.byCash.formScreen.replenishItems.clicked,,2,project,
,,,replenishType,
replenish.byCash.hasCardsOnboard.closeButton.clicked,,1,project,
replenish.byCash.hasCardsOnboard.displayed,,0,,
replenish.byCash.hasCardsOnboard.issueButton.clicked,,1,project,
replenish.byCash.hasCardsOnboard.okButton.clicked,,1,project,
replenish.byCash.newCardOnboard.actionButton.clicked,,1,project,
replenish.byCash.newCardOnboard.closeButton.clicked,,1,project,
replenish.byCash.newCardOnboard.displayed,,1,project,
replenish.byTinkoff.formScreen.displayed,,2,project,
,,,state,
replenish.byTinkoff.formScreen.sendButton.clicked,,2,project,
,,,state,
replenish.byTinkoffApp.onboardScreen.closeButton.clicked,,1,project,
replenish.byTinkoffApp.onboardScreen.displayed,,1,project,
replenish.byTinkoffApp.onboardScreen.sendButton.clicked,,1,project,
replenish.replenishSelection.formScreen.displayed,,7,byC2CIn,
,,,byCash,
,,,byRequisites,
,,,bySmeAccount,
,,,byTinkoffApp,
,,,byTinkoffCard,
,,,project,
replenish.replenishSelection.formScreen.replenishItems.clicked,,2,choice,
,,,project,
reputation.aggregatePage.dislikeButton.pressed,,2,agrType,
,,,problemFlg,
reputation.aggregatePage.explanationLink.pressed,,2,agrType,
,,,problemFlg,
reputation.aggregatePage.likeButton.pressed,,2,agrType,
,,,problemFlg,
reputation.aggregatePage.link.pressed,,3,agrType,
,,,linkType,
,,,problemFlg,
reputation.aggregatePage.shown,,2,agrType,
,,,problemFlg,
reputation.aggregatePage.situationCell.dislikeButton.pressed,,2,agrType,
,,,sitType,
reputation.aggregatePage.situationCell.likeButton.pressed,,2,agrType,
,,,sitType,
reputation.aggregatePage.situationCell.link.pressed,,3,agrType,
,,,linkType,
,,,sitType,
reputation.aggregatePage.situationCell.shown,,2,agrType,
,,,sitType,
reputation.aggregatePage.uploadDocumentsButton.pressed,,2,agrType,
,,,problemFlg,
reputation.documentLoadingPage.documentUpdloadingEvent,,6,action,
,,,docType,
,,,problemFlg,
,,,result,
,,,source,
,,,status,
reputation.infoPage.goDown,,0,,
reputation.infoPage.left,,0,,
reputation.mainPage.goDown,,0,,
reputation.mainPage.infoButton.pressed,,0,,
reputation.mainPage.profileButton.pressed,,2,percent,
,,,status,
reputation.mainPage.shown,,0,,
reputation.profile.partyEditingPage.innChangedAlert.shown,,1,result,
reputation.profile.questionPage.leftAnswered,,4,answerType,
,,,questNumber,
,,,questType,
,,,questWeight,
reputation.profile.questionPage.shown,,4,prefillFlg,
,,,questNumber,
,,,questType,
,,,questWeight,
reputation.taxesAggregatePage.addButton.pressed,,2,addType,
,,,agrType,
reputation.taxesAggregatePage.editAnswersButton.pressed,,1,agrType,
reputation.taxesProfile.lastQuestionPage.continueButton.pressed,,3,agrType,
,,,answers,
,,,question,
requisites.item.copied,,1,option,
requisites.requisitesScreen,,2,duration,
,,,result,
requisites.sharing,,2,duration,
,,,hasQrCode,
Requisites_Share_Btn_Click,,5,accountType,
,,,currencyCode,
,,,language,
,,,openedFrom,
,,,type,
Ruble_Payment_CheckCounterparty_Click,,1,status,
Ruble_Payment_CheckCounterparty_Shown,,1,status,
Ruble_Payment_Non-resident_Amount_Exceeded_Shown,,0,,
Ruble_Payment_Non-resident_Contract_Expired_Click,,1,Action,
Ruble_Payment_Non-resident_Contracts,,1,contract,
Ruble_Payment_Non-resident_Contracts_Click,,1,contractType,
Ruble_Payment_Non-resident_Docs_Click,,2,Action,
,,,action,
Ruble_Payment_Non-resident_Docs_Shown,,0,,
Ruble_Payment_Non-resident_Main_Next,,0,,
Ruble_Payment_Non-resident_Pay_Click,,1,isLight,
Ruble_Payment_Non-resident_Purpose,,0,,
Ruble_Payment_Non-resident_Send_To_Shown,,1,sentType,
Ruble_Payment_Non-resident_Send_To_Sign,,0,,
Ruble_Payment_Non-resident_Sent_To_Sign_Shown,,1,paymentType,
Ruble_Payment_Non-resident_Sent_To_VK_Shown,,1,paymentType,
Ruble_Payment_Non-resident_Shown,,0,,
Ruble_Payment_Non-resident_Sum,,0,,
Ruble_Payment_Non-resident_VO_Click,,0,,
Ruble_Payment_Non-resident_VO_Help,,0,,
Ruble_Payment_Non-resident_VO_Help_Start,,0,,
Ruble_Payment_Non-resident_VO_Shown,,0,,
rublePayment.formScreen.appendPaymentToFavorite.error,,1,providerCode,
rublePayment.formScreen.appendPaymentToFavorite.success,,1,providerCode,
rublePayment.formScreen.close.success,,0,,
rublePayment.formScreen.codeVO.addContract.clicked,,0,,
rublePayment.formScreen.comparePaymentWithFavorite.error,,1,providerCode,
rublePayment.formScreen.comparePaymentWithFavorite.success,,1,providerCode,
rublePayment.formScreen.field.change,,1,fieldName,
rublePayment.formScreen.field.changed,,1,fieldName,
rublePayment.formScreen.field.focused,,1,fieldName,
rublePayment.formScreen.field.unfocused,,1,fieldName,
rublePayment.formScreen.finishEditing.pressed,,0,,
rublePayment.formScreen.load.success,,1,formType,
rublePayment.formScreen.QRCode.scan.pressed,,0,,
rublePayment.formScreen.recognize.item.pressed,,1,option,
rublePayment.formScreen.recognize.pressed,,0,,
rublePayment.formScreen.recognizeDocument.pressed,,0,,
rublePayment.formScreen.send.error,,2,errorType,
,,,providerCode,
rublePayment.formScreen.send.success,,1,providerCode,
rublePayment.formScreen.sendToSign.error,,1,providerCode,
rublePayment.formScreen.sendToSign.success,,1,providerCode,
rublePayment.formScreen.submitted,,1,providerCode,
rublePayment.formScreen.updateFavoriteDialog.clicked,,1,buttonType,
rublePayment.formScreen.updateFavoriteDialog.success,,1,providerCode,
rublePayment.settingsScreen.load.success,,0,,
rublePayment.settingsScreen.toggle.pressed,,2,isOn,
,,,paymentField,
rublePaymentNonresident.contractExceededOnboard.screenLoad.success,,0,,
rublePaymentNonresident.contractExpiredOnboard.changeButton.pressed,,0,,
rublePaymentNonresident.contractExpiredOnboard.closeButton.pressed,,0,,
rublePaymentNonresident.contractExpiredOnboard.nextButton.pressed,,0,,
rublePaymentNonresident.documents.documentsOnboard.screenLoad.success,,0,,
rublePaymentNonresident.payButton.pressed,,1,paymentType,
rublePaymentNonresident.paymentForm.contractField.contractsLoad.success,,1,contract,
rublePaymentNonresident.paymentForm.contractField.nextStep.pressed,,1,contractType,
rublePaymentNonresident.paymentForm.nextButton.pressed,,0,,
rublePaymentNonresident.paymentForm.purposeField.finishButton.pressed,,0,,
rublePaymentNonresident.paymentForm.screenLoad.success,,0,,
rublePaymentNonresident.paymentForm.sumField.nextButton.pressed,,0,,
rublePaymentNonresident.sentToSignOnboard.screenLoad.success,,1,paymentType,
rublePaymentNonresident.sentToVkOnboard.screenLoad.success,,1,paymentType,
rublePaymentNonresident.summaryPaymentScreen.screenLoad.success,,1,sentType,
rublePaymentNonresident.summaryPaymentScreen.sendToSignButton.pressed,,0,,
Salary_Emploee_List_Shown,,2,recipientType,
,,,screenType,
Salary_Entrance,,0,,
Salary_Pay,,0,,
Salary_Selfemployed_List_Shown,,0,,
savedStories.getSavedStories,,0,,
SavedStories_Shown,,0,,
sbp.addShop.address.validationError,,1,unvalidtext,
sbp.addShop.continueButton.clicked,,2,mcc,
,,,tax,
sbp.addShop.mcc.validationError,,0,,
sbp.addShop.mccChoose.done,,2,mcc,
,,,tax,
sbp.addShop.name.validationError,,0,,
sbp.addShop.shown,,0,,
sbp.addShopApplication.success,,1,id,
sbp.addShopCreateMethod.error,,1,errorMessage,
sbp.addShopCreateMethod.success,,1,shopId,
sbp.bottomSheet.clicked,,0,,
sbp.denied.chatButton.clicked,,0,,
sbp.denied.closeButton.clicked,,0,,
sbp.denied.continueButton.clicked,,0,,
sbp.denied.shown,,0,,
sbp.inProgress.closeButton.clicked,,1,id,
sbp.inProgress.continueButton.clicked,,1,id,
sbp.inProgress.shown,,1,id,
sbp.mcc.choose.done,,2,mcc,
,,,tax,
sbp.mcc.continueButton.clicked,,2,mcc,
,,,tax,
sbp.mcc.shown,,0,,
sbp.mcc.validationError.shown,,0,,
sbp.mccApplication.error,,1,errorMessage,
sbp.mccApplication.success,,6,id,
,,,utmCampaign,
,,,utmContent,
,,,utmMedium,
,,,utmSource,
,,,utmTerm,
sbp.menuTap.clicked,,0,,
sbp.onboardPage1.close.click,,1,id,
sbp.onboardPage1.shown,,1,id,
sbp.onboardPage2.backbutton.clicked,,1,id,
sbp.onboardPage2.continueButton.clicked,,1,id,
sbp.onboardPage2.shown,,1,id,
sbp.productPage.continueButton.clicked,,0,,
sbp.productPage.shown,,5,utmCampaign,
,,,utmContent,
,,,utmMedium,
,,,utmSource,
,,,utmTerm,
sbp.shopMethod.error,,1,errorMessage,
sbp.shopMethod.success,,1,shopId,
Search_CLICK_Frequently_Titles,,3,service,
,,,servise,
,,,url,
Search_theRESULTS_Shown,,5,counterpartiesCount,
,,,group,
,,,searchText,
,,,sections,
,,,title,
searchRequest.response.empty,,0,,
searchRequest.response.error,,0,,
searchRequest.response.success,,0,,
searchRequest.sent,,0,,
Security_Question_Call_Method_Tap,,1,clickOption,
Security_Question_Input_Closed,,0,,
Security_Question_Input_Failure,,1,failure_reason,
serviceNumberSaving.accessRequest.shown,,1,access,
serviceNumberSaving.intro.shown,,1,chooseDenied,
Services_more,,1,type,
Services_Product_Click,,1,productType,
Services_Shown,,0,,
servicesScreen.offer.action,,1,offerLocation,
servicesScreen.offer.closed,,1,offerLocation,
servicesScreen.offer.displayed,,1,offerLocation,
shopPicker.closed,,1,project,
shopPicker.opened,,1,project,
shopPicker.search.cleared,,1,project,
shopPicker.search.focused,,1,project,
shopPicker.search.nothingFound.displayed,,0,,
shopPicker.search.nothingFound.newPoint.clicked,,0,,
shopPicker.select.clicked,,1,project,
shopPicker.selectAll.clicked,,0,,
shopPicker.shop.pick,,1,project,
shopPicker.shop.select,,1,project,
shopPicker.shop.unselect,,1,project,
shopPicker.unselectAll.clicked,,1,project,
Shortcuts_Click,,1,shortcutsType,
sme.invoicing.mobile.common.events.acquiring.origination.emailStep.screen.shown,,1,from,
sme.invoicing.mobile.common.events.acquiring.origination.emailStep.submitButton.tapped,,1,from,
sme.invoicing.mobile.common.events.acquiring.origination.instructionStep.screen.shown,,1,from,
sme.invoicing.mobile.common.events.acquiring.origination.instructionStep.submitButton.tapped,,0,,
sme.invoicing.mobile.common.events.acquiring.origination.landing.screen.shown,,1,from,
sme.invoicing.mobile.common.events.acquiring.origination.status.chatButton.tapped,,1,from,
sme.invoicing.mobile.common.events.acquiring.origination.status.screen.shown,,1,from,
sme.invoicing.mobile.common.events.acquiring.origination.status.terminalActivatedScreen.howToConnectCashierButton.tapped,,0,,
sme.invoicing.mobile.common.events.acquiring.origination.success.screen.shown,,1,from,
sme.invoicing.mobile.common.events.acquiring.origination.terminalsList.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.cardInvoice.firstStep.terminalActivated.howToConnectCashierButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.cardInvoice.firstStep.terminalActivated.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.buyerStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.cropLogo.submitButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.firstStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.itemsStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.logoList.plusButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.pdfStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.previewStep.addLogoButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.previewStep.changeLogoButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.previewStep.deleteLogoButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.previewStep.documentIssuing.success,,5,goodsQuantity,
,,,hasLogo,
,,,signersAmount,
,,,signsAmount,
,,,stampsAmount,
sme.invoicing.mobile.common.events.create.consignmentBill.previewStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.previewStep.submitButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.sellerStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.shipperConsigneeStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.signerDetail.plusSignButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.signerDetail.plusStampButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.signerDetail.saveButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.signerDetail.signAdded,,1,source,
sme.invoicing.mobile.common.events.create.consignmentBill.signerList.createButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.consignmentBill.signerOptions.toggleSign.tapped,,1,option,
sme.invoicing.mobile.common.events.create.consignmentBill.signerOptions.toggleStamp.tapped,,1,option,
sme.invoicing.mobile.common.events.create.detailedInvoice.buyerStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.detailedInvoice.firstStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.detailedInvoice.itemsStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.detailedInvoice.pdfStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.detailedInvoice.productDetail.trackingItemDetail.screen.shown,,1,mode,
sme.invoicing.mobile.common.events.create.detailedInvoice.sellerStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.detailedInvoice.shipmentDocumentsStep.addButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.detailedInvoice.shipmentDocumentsStep.addButton.validationError,,0,,
sme.invoicing.mobile.common.events.create.detailedInvoice.shipmentDocumentsStep.documentIssuing.start,,0,,
sme.invoicing.mobile.common.events.create.detailedInvoice.shipmentDocumentsStep.documentIssuing.validationError,,1,errorType,
sme.invoicing.mobile.common.events.create.detailedInvoice.shipmentDocumentsStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.detailedInvoice.shipmentDocumentsStep.shipmentDocument.addButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.detailedInvoice.shipmentDocumentsStep.shipmentDocument.screen.shown,,1,mode,
sme.invoicing.mobile.common.events.create.detailedInvoice.shipmentDocumentsStep.submitButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.detailedInvoice.shipperConsigneeStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.invoice.cropLogo.submitButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.invoice.firstStep.checkCounterpartyStatus.shown,,1,status,
sme.invoicing.mobile.common.events.create.invoice.firstStep.checkCounterpartyStatus.tapped,,1,status,
sme.invoicing.mobile.common.events.create.invoice.firstStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.invoice.itemsStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.invoice.logoList.plusButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.invoice.previewStep.addLogoButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.invoice.previewStep.changeLogoButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.invoice.previewStep.deleteLogoButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.invoice.previewStep.documentIssuing.success,,7,documentHasLogo,
,,,goodsQuantity,
,,,hasLogo,
,,,payer,
,,,signersAmount,
,,,signsAmount,
,,,stampsAmount,
sme.invoicing.mobile.common.events.create.invoice.previewStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.invoice.previewStep.submitButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.invoice.signerDetail.plusSignButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.invoice.signerDetail.plusStampButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.invoice.signerDetail.saveButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.invoice.signerDetail.signAdded,,1,source,
sme.invoicing.mobile.common.events.create.invoice.signerList.createButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.invoice.signerOptions.toggleSign.tapped,,1,option,
sme.invoicing.mobile.common.events.create.invoice.signerOptions.toggleStamp.tapped,,1,option,
sme.invoicing.mobile.common.events.create.providedServicesAct.buyerStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.cropLogo.submitButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.firstStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.itemsStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.logoList.plusButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.pdfStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.previewStep.addLogoButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.previewStep.changeLogoButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.previewStep.deleteLogoButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.previewStep.documentIssuing.success,,5,goodsQuantity,
,,,hasLogo,
,,,signersAmount,
,,,signsAmount,
,,,stampsAmount,
sme.invoicing.mobile.common.events.create.providedServicesAct.previewStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.previewStep.submitButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.sellerStep.screen.shown,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.signerDetail.plusSignButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.signerDetail.plusStampButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.signerDetail.saveButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.signerDetail.signAdded,,1,source,
