iteration,users,start_in_yellow
1707,4,0
1306,11,0
1968,3,0
1045,28,0
2137,3,0
2639,1,0
1808,3,0
1004,28,0
828,47,0
422,352,0
1205,13,0
2398,3,0
161,2889,0
1482,5,0
1221,12,0
911,34,0
2935,1,0
2278,3,0
2369,3,0
2684,1,0
2118,3,0
2529,2,0
660,94,0
1891,3,0
1640,5,0
1389,6,0
409,378,0
1138,16,0
158,2992,0
1340,7,0
2765,1,0
970,29,0
2083,3,0
1798,3,0
954,31,0
2866,1,0
251,1226,1
2504,2,0
1500,5,0
533,189,0
1255,11,0
2243,3,0
2038,3,0
1537,5,0
1239,12,0
448,300,0
1777,3,0
794,49,0
1697,5,0
693,82,0
1958,3,0
11,59621,148
1079,24,0
1516,5,0
272,1018,0
171,2607,0
432,334,0
2605,1,0
709,75,0
2344,3,0
104,5980,1
2128,3,0
626,110,0
355,547,0
2901,1,0
2379,3,0
1423,5,0
1172,15,0
2288,3,0
1694,5,0
2810,1,0
2539,2,0
1945,3,0
877,37,0
2650,1,0
784,49,0
442,310,0
181,2325,0
1265,11,0
960,31,0
282,936,0
2530,2,0
458,279,0
1751,3,0
523,204,0
1446,5,0
1852,3,0
2856,1,0
683,84,0
2514,2,0
2012,3,0
1767,3,0
763,53,0
21,36565,39
2093,3,0
1591,5,0
944,31,0
197,1983,0
1286,11,0
2595,1,0
1526,5,0
2354,3,0
2253,3,0
1025,28,0
2755,1,0
1185,15,0
2028,3,0
867,38,0
2800,1,0
2891,1,0
1684,5,0
1433,5,0
616,113,0
2389,3,0
1935,3,0
2640,1,0
2138,3,0
114,5143,1
2298,3,0
1182,15,0
2549,1,0
365,502,0
2492,3,0
990,28,0
1709,4,0
2950,1,0
2231,3,0
31,25794,13
2689,1,0
1448,5,0
1187,15,0
468,271,0
729,70,0
207,1798,0
1970,3,0
124,4521,0
1877,3,0
1626,5,0
1786,3,0
993,28,0
582,145,0
2718,1,0
833,45,0
1355,6,0
2447,3,0
1515,5,0
375,472,0
1264,11,0
1104,20,0
2969,1,0
742,65,0
2037,3,0
2196,3,0
2177,3,0
1458,5,0
2583,1,0
478,260,0
2743,1,0
719,74,0
1960,3,0
2844,1,0
980,29,0
217,1644,0
2438,3,0
1699,5,0
1197,15,0
543,181,0
1274,11,0
2959,1,0
2708,1,0
2206,3,0
1776,3,0
230,1469,0
1114,19,0
1616,5,0
70,10396,5
2457,3,0
887,36,0
2027,3,0
636,107,0
1867,3,0
1525,5,0
481,255,0
1365,6,0
321,698,0
1231,12,0
2187,3,0
2014,3,0
1753,3,0
786,49,0
2970,1,0
264,1095,0
1055,25,0
424,351,0
2448,3,0
946,31,0
525,202,0
2709,1,0
1492,5,0
3,122005,907
685,84,0
163,2826,0
1013,28,0
2674,1,0
2403,3,0
1399,6,0
762,53,0
491,244,0
1766,3,0
2925,1,0
80,8724,3
853,39,0
1606,5,0
1148,16,0
1857,3,0
240,1344,0
2152,3,0
331,645,0
2017,3,0
602,126,0
1342,7,0
2197,3,0
274,998,0
173,2555,0
1241,12,0
1583,5,0
936,32,0
2960,1,0
1844,3,0
2458,3,0
776,50,0
1081,24,0
434,329,0
1502,5,0
675,88,0
